station,timestamp,n_samples,dt,PGA_E,PGA_N,PGA_U,PGA_VEC,PGV_E,PGV_N,PGV_U,PGV_VEC,Arias,CAV,RMS_A,PSA_0.20s,PSA_1.00s
KMM004,202508070847,7109,0.01,6041.939750753738,6164.300590567162,21683.348768713484,22053.53645908328,3356.339451085772,3523.878741757668,26415.12085022617,26859.65020469957,71314796.69247657,114776.4292336443,2502.995865773675,,
KMM005,202508070847,6009,0.01,16694.615743056427,7069.133657715227,10127.055718210539,19542.100413738764,20316.304241349113,1057.683505332233,12276.324766935684,23760.492136791076,52206705.289301075,86816.98457940582,2329.359961482819,,
KMM006,202508070847,6009,0.01,3451.6499342243906,9917.531287622272,12279.30247602769,16157.121755039716,4200.661023505393,12055.891349795245,14948.45338641732,19658.227842008946,33065755.594820373,62631.10797913375,1853.7991933097728,,
KMM007,202508070847,6009,0.01,6053.011345272078,7231.036693438672,11711.421774974608,11781.51917721482,1297.8084439177362,937.5675528589112,14104.741558397487,14192.898945872177,29411099.819645807,81353.96080605146,1748.3528899148223,,
KMM008,202508070847,6009,0.01,3424.575582841499,4482.095082843466,8956.674439244314,10584.843469076726,4174.235489800574,5422.791834286922,10871.636558417013,12845.990113066775,14859971.906401012,49118.88212261107,1242.7462386319107,,
KMM009,202508070847,6009,0.01,4200.425841095912,1405.662233175027,3593.2119952143903,5546.55353993875,5111.118566376159,523.1446051635087,4364.880433628689,6741.610379367486,4414129.986104199,28490.117009960395,677.3233101756584,,
KMM010,202508070847,6009,0.01,2310.582046607059,4688.577956230176,18775.415622091346,19489.427503855062,2894.117570550137,5648.097918405922,22775.172802454996,23641.84696687541,46449270.42243853,57513.65503364903,2197.1662110335974,,
MYZ001,202508070847,6009,0.01,12930.934050058764,10037.314616701355,13101.517149564423,20966.794980204926,15747.73972019879,12194.96063453393,15955.214516913276,25520.13404066834,54423033.306261845,77878.46122521206,2378.2901384789,,
MYZ002,202508070847,6009,0.01,3629.9544658175932,5862.251550477877,8031.675613241514,9946.289627019307,296.84817786191365,7117.0993401182495,9750.099733653433,12073.841480531792,14210757.898484446,48997.78641172697,1215.2960420246416,,
MYZ003,202508070847,6009,0.01,1701.7357235464729,2502.5826700154653,7651.390983196446,7838.376609876668,2073.8080758515935,122.78312652172409,9282.815212204836,9511.761184335892,8232189.566365044,30043.760908537424,924.9774483735087,,
MYZ008,202508070847,6009,0.01,1734.261539774268,2567.7734426387347,22395.486386844175,22582.391883617387,2148.0944219086355,2806.9013256939907,27147.72549961109,27376.84253721255,62259152.41001114,58866.27791064505,2543.753740242124,,
NGS014,202508070847,6009,0.01,2539.2131849602993,2140.6748941590804,1649.5270459582503,2874.1139013379316,1281.1096431088722,648.696916705086,1941.0185353964812,2412.0934339563773,2543661.974551983,28402.47808067437,514.1657716818681,,
OIT003,202508070847,6009,0.01,7465.571859640678,4148.600316008047,23469.420102776814,24681.77766996831,9083.229507954566,1964.7066635441154,28550.69585670643,30025.099073902744,75892065.85366546,73080.79667254945,2808.4820378624463,,
OIT005,202508070847,6009,0.01,7772.017159096654,6037.454779308113,15120.673883451811,17382.46127289926,9450.68473517357,4390.8609233527095,18397.188106820708,21143.47318806379,44060300.01456168,81882.86644027244,2139.9182775850845,,
OIT006,202508070847,6009,0.01,4943.372081851355,12316.178437149218,9317.151396720077,16215.254823305419,6002.700670856509,14980.401523706352,11339.188863353018,19723.63471102674,35188251.91471072,69146.22253440294,1912.3717051762476,,
OIT008,202508070847,6009,0.01,8086.683710870885,15629.477970753522,12154.63072234796,19801.74503989557,472.489570976684,19025.747972742694,14795.416747379906,24104.306667961402,54055421.3331974,83183.35743179024,2370.2441947341867,,
OIT009,202508070847,6909,0.01,11998.473893723643,8756.07425420871,6424.837736962706,13098.132166432397,2187.462950075466,1551.0973050062546,4877.804987324483,5518.992733921612,35010493.20704711,97073.64511825747,1778.9595912673242,,
OIT010,202508070847,6009,0.01,7442.84326712828,27932.908656936488,15894.729616056798,32989.17597490648,9053.124911552432,33987.888315427386,19327.08116255084,40133.174420545954,135514807.07569447,124551.58702328532,3752.8986728017794,,
OIT012,202508070847,6009,0.01,12402.807029012161,8843.128076251403,3696.038912181023,15245.564653739386,15071.592333520568,10782.330793352508,789.578658090575,18548.146475142294,38577303.470777065,85367.0534990396,2002.3472556977265,,
OIT013,202508070847,6009,0.01,6907.304036996975,5314.0263012732985,7720.13817463777,8468.28909575546,4027.9309055286194,1310.857828609151,9397.044718206023,10307.618683021825,17550411.162182923,58463.168231678756,1350.5700381538422,,
OIT015,202508070847,6009,0.01,6260.168137486725,9401.510049184662,16046.119019828302,19622.844643756922,7613.519975249824,11424.231719480193,19532.474640773173,23874.59575335994,53321801.77902317,91393.93979255969,2354.1052247511225,,
OIT016,202508070847,6009,0.01,1752.7046926004007,9890.217859275877,36431.18368998684,37749.86647172261,169.34194147024039,12065.000068080073,44275.63436252425,45890.138265540845,173270436.29807663,99837.70033915102,4243.6122815901535,,
SAG003,202508070847,6009,0.01,10409.435874478799,1461.5702942886621,18797.65926321794,21537.050325568645,12671.192437875536,1779.9509637072151,22872.5752565132,26208.43339891052,56534660.258398436,61240.280148523234,2423.9901822065426,,
